1446592194.267987 X: (0x728 --> 0x72 (114)) 0x76 (118); 
1446592194.268171 Y: (0x7DB --> 0x7D (125)) 0x7E (126) 

1446592194.268336 X: (0x750 --> 0x75 (117)) 0x71 (113); 
1446592194.268486 Y: (0x7ED --> 0x7E (126)) 0x7E (126) 

1446592194.268629 X: (0x7EB --> 0x7E (126)) 0x75 (117); 
1446592194.268688 Y: (0x7B9 --> 0x7B (123)) 0x81 (129) 

1446592194.268762 X: (0x7FA --> 0x7F (127)) 0x75 (117); 
1446592194.268822 Y: (0x819 --> 0x81 (129)) 0x79 (121) 

1446592194.268884 X: (0x7B0 --> 0x7B (123)) 0x7B (123); 
1446592194.268915 Y: (0x7F6 --> 0x7F (127)) 0x7E (126) 

1446592194.268956 X: (0x846 --> 0x84 (132)) 0x7B (123); 
1446592194.268987 Y: (0x800 --> 0x80 (128)) 0x7A (122) 

1446592194.269029 X: (0x7BE --> 0x7B (123)) 0x7E (126); 
1446592194.269059 Y: (0x7E4 --> 0x7E (126)) 0x7F (127) 

1446592194.269100 X: (0x80F --> 0x80 (128)) 0x7A (122); 
1446592194.269131 Y: (0x81C --> 0x81 (129)) 0x7F (127) 

1446592194.269173 X: (0x83E --> 0x83 (131)) 0x7C (124); 
1446592194.269203 Y: (0x7EA --> 0x7E (126)) 0x7F (127) 

1446592194.269245 X: (0x815 --> 0x81 (129)) 0x7F (127); 
1446592194.269275 Y: (0x812 --> 0x81 (129)) 0x7F (127) 

1446592194.269316 X: (0x82C --> 0x82 (130)) 0x7D (125); 
1446592194.269347 Y: (0x7FF --> 0x7F (127)) 0x7F (127) 

1446592194.269389 X: (0x822 --> 0x82 (130)) 0x82 (130); 
1446592194.269419 Y: (0x806 --> 0x80 (128)) 0x7F (127) 

1446592194.269460 X: (0x824 --> 0x82 (130)) 0x81 (129); 
1446592194.269491 Y: (0x803 --> 0x80 (128)) 0x7C (124) 

1446592194.269532 X: (0x822 --> 0x82 (130)) 0x82 (130); 
1446592194.269563 Y: (0x804 --> 0x80 (128)) 0x7F (127) 

1446592194.269604 X: (0x823 --> 0x82 (130)) 0x82 (130); 
1446592194.269635 Y: (0x806 --> 0x80 (128)) 0x7C (124) 

1446592194.269676 X: (0x823 --> 0x82 (130)) 0x82 (130); 
1446592194.269707 Y: (0x805 --> 0x80 (128)) 0x80 (128) 

1446592194.269748 X: (0x823 --> 0x82 (130)) 0x82 (130); 
1446592194.269779 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592194.269820 X: (0x823 --> 0x82 (130)) 0x82 (130); 
1446592194.269851 Y: (0x806 --> 0x80 (128)) 0x80 (128) 

1446592194.269892 X: (0x822 --> 0x82 (130)) 0x82 (130); 
1446592194.269922 Y: (0x803 --> 0x80 (128)) 0x80 (128) 

1446592194.269964 X: (0x821 --> 0x82 (130)) 0x82 (130); 
